epoch,train_total_loss,train_seg_loss,train_cls_loss,val_total_loss,val_seg_loss,val_cls_loss,val_dice,val_iou,val_cls_acc,val_cls_f1,val_joint_score
1,3.325647674061733,0.29179629910286087,1.5169256885974225,3.3025545253631003,0.2507457625188756,1.5259043799847014,0.5814576669648518,0.5814576669648518,0.27009646302250806,0.09003206224165705,0.3357448646032544
2,3.2355544686360034,0.24461669138379505,1.4954688886780108,3.1121074764930423,0.2524685999548256,1.4298194387462488,0.5814576669648518,0.5814576669648518,0.4030010718113612,0.1644207831535741,0.37293922505921295
3,3.1786585986167033,0.2386749235034074,1.4699918387318645,3.1149819717529885,0.2438525729528194,1.435564697619292,0.5814576669648518,0.5814576669648518,0.40514469453376206,0.16234351426148558,0.3719005906131687
4,3.142748943180985,0.23482186394893684,1.4539635418653063,3.117654471790931,0.2361656260963166,1.4407444245562293,0.5814576669648518,0.5814576669648518,0.3879957127545552,0.16936130669687524,0.3754094868308635
5,3.1221967115705462,0.2320961585536562,1.4450502790012885,3.0648904774349988,0.231836706016608,1.416526881444876,0.5814576669648518,0.5814576669648518,0.4255091103965702,0.1892816667445457,0.38536966685469876
6,3.064127632446398,0.2286292978906129,1.4177491666590072,3.0192259771136483,0.2514298960181215,1.3838980395949794,0.5814576669648518,0.5814576669648518,0.43193997856377275,0.18447893310228403,0.3829683000335679
7,3.038420360315779,0.22673531337007322,1.405842525186433,2.9922304718185213,0.23305620887942635,1.3795871315533965,0.5814576669648518,0.5814576669648518,0.45444801714898175,0.20011205119092118,0.3907848590778865
8,2.9880081173691337,0.2246504645234306,1.381678827578104,2.9345685385431124,0.23359480528170912,1.3504868618033963,0.5814576669648518,0.5814576669648518,0.4480171489817792,0.19046065138736937,0.38595915917611057
9,2.9383534524814707,0.22181489473130925,1.3582692755337653,2.8962634690704836,0.22733365920435195,1.3344649047074721,0.5814576669648518,0.5814576669648518,0.45766345123258306,0.1891336555951079,0.38529566127997983
10,2.8933123613775265,0.22139007390003282,1.3359611413443928,2.8919868700501747,0.22537448773078725,1.333306191882392,0.5497632232633145,0.5441219110073168,0.48981779206859594,0.19054231818886921,0.3701527707260919
