epoch,train_total_loss,train_seg_loss,train_cls_loss,val_total_loss,val_seg_loss,val_cls_loss,val_dice,val_iou,val_cls_acc,val_cls_f1,val_joint_score
1,2.1057180583200186,0.27483503748345006,1.8308830202030428,2.0266499578122286,0.23268771090915094,1.793962243285593,0.5814576669648518,0.5814576669648518,0.37191854233654875,0.12539669868483083,0.3534271828248413
2,2.0334246417120894,0.22226349053829217,1.8111611478624279,2.000739740788745,0.2184049209374196,1.7823348193562172,0.5814576669648518,0.5814576669648518,0.3708467309753483,0.1259428097062993,0.35370023833557557
3,1.9923856787785499,0.2156396120967674,1.7767460686941579,1.9903114833504696,0.23329039473817278,1.7570210939307178,0.5814576669648518,0.5814576669648518,0.3729903536977492,0.12749438294493326,0.3544760249548925
4,1.9809795546080224,0.2086085610640032,1.772370991982831,1.9999092059631185,0.21699947426205407,1.7829097339450226,0.5514729294433952,0.5473919445242972,0.3536977491961415,0.14682778262729307,0.34915035603534417
5,1.9245770448614503,0.20555850622823468,1.7190185415186854,1.9105495563274029,0.20625537072107722,1.704294189890609,0.5464915377654012,0.5415793712336499,0.3965702036441586,0.1649566846093719,0.35572411118738656
6,1.8909941946195252,0.2024421620582972,1.6885520304130972,1.829889087176144,0.20666008071309117,1.6232290023903881,0.5613834518093624,0.5573193072312786,0.41264737406216506,0.16925923824806338,0.36532134502871294
7,1.81856820288621,0.19473892162584244,1.623829279043028,1.8308453052629101,0.21390674886117028,1.6169385577832516,0.5533825256671169,0.5373211246293174,0.42979635584137194,0.13964666102901235,0.3465145933480646
8,1.782888731900263,0.18851790205642405,1.594370830565872,1.7997288091900776,0.18590554940770804,1.6138232597424413,0.5580416164528398,0.5419721298797927,0.4415862808145766,0.1510231616945376,0.35453238907368867
9,1.7155398374457325,0.186110923844002,1.529428913619698,1.648711847466799,0.18983523716944462,1.4588766122298737,0.5617526766291601,0.5472611884353444,0.5369774919614148,0.17471015848159868,0.36823141755537936
10,1.6125913185066476,0.17919969669050428,1.4333916228343095,1.5983082816276264,0.18394566253067213,1.4143626210773872,0.5417120394595851,0.5283025135116309,0.5584137191854234,0.18601010102325413,0.3638610702414196
