epoch,train_total_loss,train_seg_loss,train_cls_loss,val_total_loss,val_seg_loss,val_cls_loss,val_dice,val_iou,val_cls_acc,val_cls_f1,val_joint_score
1,1.7981994364167078,0.27748010421478564,1.5207193304956619,1.7374815151239131,0.2568226213400259,1.4806588960997162,0.5814576669648518,0.5814576669648518,0.3558413719185423,0.11075373432863372,0.34610570064674273
2,1.7487776739420997,0.24740675186239935,1.5013709236954569,1.7239054360957007,0.24908941631212367,1.4748160241117814,0.5814576669648518,0.5814576669648518,0.3558413719185423,0.11075373432863372,0.34610570064674273
3,1.7428346747115238,0.24253404881271476,1.5003006246184485,1.720597485765128,0.2406107280143843,1.4799867586052047,0.5814576669648518,0.5814576669648518,0.30439442658092175,0.11627609288785445,0.3488668799263531
4,1.739193027340629,0.23826896410306336,1.500924064372854,1.711576782749908,0.23359158261412594,1.4779852062687358,0.5814576669648518,0.5814576669648518,0.3558413719185423,0.11075373432863372,0.34610570064674273
5,1.7315509129354212,0.23232842065598888,1.4992224921836048,1.6985090361530757,0.2301276898668382,1.4683813477635768,0.5531729463185134,0.5516444948269358,0.3558413719185423,0.11075373432863372,0.33196334032357355
6,1.7215531241173998,0.22920958690342624,1.4923435407436163,1.6911486549520545,0.2276600018495021,1.4634886521362926,0.5578158804014932,0.5548071203289908,0.3558413719185423,0.11075373432863372,0.3342848073650635
7,1.7197178182281652,0.22918751481794042,1.4905303033942536,1.7226794751127432,0.23094272913784586,1.4917367478275605,0.55809215875035,0.5552996708091255,0.27009646302250806,0.09003206224165705,0.32406211049600353
8,1.7173683392912118,0.22799665976226563,1.4893716798164283,1.6880645657403421,0.22745116161220455,1.460613399073242,0.5354973409826063,0.5249159453841522,0.34512325830653806,0.14332653453579747,0.33941193775920186
9,1.6936405314509893,0.2260826030222379,1.4675579286124205,1.693032727491945,0.2282275790857732,1.464805146377825,0.5554314648465466,0.5526408414452305,0.3633440514469453,0.14494446086860088,0.35018796285757375
10,1.6818908608866914,0.2260642606697154,1.45582660009453,1.6438049338638208,0.22382900035777403,1.4199759351989976,0.5358530178058698,0.5295049994869999,0.36763129689174706,0.1423874299366928,0.33912022387128127
