epoch,train_total_loss,train_seg_loss,train_cls_loss,val_total_loss,val_seg_loss,val_cls_loss,val_dice,val_iou,val_cls_acc,val_cls_f1,val_joint_score
1,5.78492483729846,0.3003088002994513,1.8282053475296467,5.691597309909833,0.25336633625042015,1.8127436540773316,0.5814576669648518,0.5814576669648518,0.3558413719185423,0.11075373432863372,0.34610570064674273
2,5.674731800410525,0.24849875998543858,1.8087443503876932,5.5558939000545715,0.2458570675339474,1.7700122751990315,0.5814576669648518,0.5814576669648518,0.3558413719185423,0.11075373432863372,0.34610570064674273
3,5.622827152730568,0.24486590588346213,1.7926537506748157,5.460171405142143,0.25603847272718067,1.7347109747086307,0.5814576669648518,0.5814576669648518,0.40836012861736337,0.17377104641987776,0.37761435669236476
4,5.589057279084571,0.24420306592295962,1.781618069690992,5.567488023833574,0.24061861701333637,1.7756231260453006,0.5814576669648518,0.5814576669648518,0.39978563772775993,0.15188571192698194,0.3666716894459169
5,5.531022075160395,0.2334871380834462,1.7658449776388143,5.531985491929458,0.23354581409679986,1.7661465563574787,0.5814576669648518,0.5814576669648518,0.3633440514469453,0.1568262336869937,0.36914195032592273
6,5.50511588876526,0.2311625143179684,1.7579844601029113,5.4121742534739665,0.24698921828056583,1.7217283489108723,0.5814576669648518,0.5814576669648518,0.4137191854233655,0.17802766363330225,0.379742665299077
7,5.500650626840486,0.23634758074716314,1.7547676854152345,5.578310839232908,0.25342362744599933,1.7749624019778172,0.5814576669648518,0.5814576669648518,0.40728831725616294,0.17788475280801314,0.37967120988643244
8,5.429106895307764,0.23205463369431859,1.7323507535197813,5.66168072292659,0.24645225531027312,1.8050761442603533,0.5814576669648518,0.5814576669648518,0.3236870310825295,0.12356440266456589,0.35251103481470886
9,5.405508182610133,0.2336865893035073,1.7239405306461413,5.178608992986485,0.22849534136529648,1.6500378907174031,0.5814576669648518,0.5814576669648518,0.42229367631296894,0.17221437320849575,0.3768360200866738
10,5.073001665062204,0.22215916479366427,1.6169475002261562,5.298759731832424,0.2732534084033864,1.6751687731134675,0.5814576669648518,0.5814576669648518,0.40943193997856375,0.18663276006056628,0.38404521351270904
