epoch,train_total_loss,train_seg_loss,train_cls_loss,val_total_loss,val_seg_loss,val_cls_loss,val_dice,val_iou,val_cls_acc,val_cls_f1,val_joint_score
1,3.0228925625227654,0.27438956337923365,1.8323353305805066,2.922858897001669,0.22905846354965867,1.7958669603701445,0.5814576669648518,0.5814576669648518,0.27009646302250806,0.09003206224165705,0.3357448646032544
2,2.9327941623999845,0.22599397215722034,1.8045334577901144,2.8756459441598974,0.21635832619181528,1.7728584093807338,0.5610285986541446,0.5593164401127828,0.40943193997856375,0.17515419291002257,0.36809139578208355
3,2.885446607832314,0.21994063521962628,1.7770039837630403,2.776618781708189,0.22170559395931158,1.7032754640998309,0.5814576669648518,0.5814576669648518,0.4040728831725616,0.18151359150766516,0.3814856292362585
4,2.804685820507637,0.2154729136849097,1.726141942275682,2.696229140985945,0.20956246052156946,1.6577777898324393,0.5441673577504552,0.5392516155245896,0.40192926045016075,0.15785722005035166,0.3510122889004034
5,2.701694028979755,0.21342422641752531,1.6588465365906961,2.7277050989361564,0.21922712609379494,1.6723186481676173,0.5415409359882588,0.5281485410312255,0.4212218649517685,0.15219194049206222,0.3468664382401605
6,2.556532897622128,0.20072275873841922,1.5705400912750616,2.612496737881872,0.21058813902167134,1.6012724041299933,0.5528097746433528,0.54522337533157,0.4705251875669882,0.14340819811761993,0.3481089863804864
7,2.453294532560544,0.19273810534231917,1.5070376203246694,2.3060932491625494,0.20056034890098332,1.403688602636609,0.5558624745127327,0.5460062012728155,0.5541264737406216,0.17578707721877476,0.36582477586575374
8,2.3516576208783797,0.18991571861123263,1.4411612696288185,2.30360155757856,0.19716552183399375,1.4042906846136398,0.5623679511755524,0.5471295055400627,0.5509110396570204,0.17307692226067994,0.36772243671811616
9,2.2790920663280287,0.18980786079629355,1.392856137375186,2.2298415656513977,0.18525314928977754,1.36305894217946,0.5649668460328712,0.5487137861834183,0.5702036441586281,0.18451977099213637,0.37474330851250376
10,2.211840640395486,0.17673674252026633,1.3567359305654692,2.1442949302965677,0.18742650596770316,1.3045789490494826,0.5628452946901911,0.545914954927833,0.5884244372990354,0.19237971295295936,0.3776125038215752
