epoch,train_total_loss,train_seg_loss,train_cls_loss,val_total_loss,val_seg_loss,val_cls_loss,val_dice,val_iou,val_cls_acc,val_cls_f1,val_joint_score
1,2.1140084843330613,0.2862154580213505,1.8277930304083325,2.0525974072316324,0.2593641233493725,1.7932332829519355,0.5814576669648518,0.5814576669648518,0.3558413719185423,0.11075373432863372,0.34610570064674273
2,2.0545667463134296,0.24050562347512708,1.8140611208605315,2.0133799637756673,0.23870220600696238,1.7746777570260428,0.5814576669648518,0.5814576669648518,0.3558413719185423,0.11075373432863372,0.34610570064674273
3,2.025565442974204,0.2356288680695623,1.789936572494316,1.9893098755281455,0.2401641260628915,1.7491457556860495,0.5814576669648518,0.5814576669648518,0.40943193997856375,0.16605911716619082,0.3737583920655213
4,1.9895382065481695,0.24094296989296324,1.748595240372511,1.9489972772833364,0.23835406758266503,1.710643212000529,0.5814576669648518,0.5814576669648518,0.39764201500535906,0.17128546514848203,0.3763715660566669
5,1.9398644364872504,0.23940447426962402,1.7004599639371958,1.9377182000191904,0.24495126940270073,1.6927669275739696,0.5814625221441532,0.5814601076015385,0.36227224008574493,0.1431887305891995,0.3623256263666763
6,1.903281629830865,0.23854324505632798,1.6647383843885655,1.8335854312103532,0.23896605761807577,1.5946193730332843,0.5814576669648518,0.5814576669648518,0.47481243301178994,0.15232464187562053,0.3668911544202362
7,1.9025716914922777,0.23861152080339207,1.6639601706862237,1.8380503304390534,0.24173525572302257,1.5963150697250204,0.5814590661964858,0.5814583684120307,0.4480171489817792,0.17555229853826415,0.378505682367375
8,1.7652954270303909,0.23640715554968805,1.5288882732987616,1.6666664212846296,0.2398766463608476,1.4267897746442855,0.5501933631161593,0.5480103666903751,0.5455519828510182,0.16653888372369632,0.3583661234199278
9,1.6634266363718375,0.2337597945719031,1.429666839697055,1.7269779717168368,0.23503915840182912,1.4919388108953657,0.5548691904054238,0.5533769235592053,0.5326902465166131,0.204588142210085,0.3797286663077544
10,1.6254313708884922,0.22923250797711428,1.396198860702024,1.5775814510458663,0.23295642748586873,1.3446250220587015,0.5563674151766375,0.5545507239751717,0.5669882100750268,0.1828354991657531,0.3696014571711953
