epoch,train_total_loss,train_seg_loss,train_cls_loss,val_total_loss,val_seg_loss,val_cls_loss,val_dice,val_iou,val_cls_acc,val_cls_f1,val_joint_score
1,2.0881179310927096,0.2606574692931419,1.8274604609797112,2.0173850979452346,0.21643429784162124,1.8009507985743678,0.5326166535467534,0.5236448639043416,0.27009646302250806,0.09003206224165705,0.3113243578942052
2,2.0388071310013354,0.2221718037919557,1.8166353285163588,2.0142051930851745,0.21862572013517284,1.7955794804604746,0.5625115971450719,0.5618320140301566,0.3558413719185423,0.11075373432863372,0.3366326657368528
3,2.02332256533666,0.20941517046889307,1.813907394199637,2.009574778210312,0.21131242246298163,1.798262357711792,0.558310957034342,0.5540282381086031,0.27009646302250806,0.09003206224165705,0.3241715096379995
4,2.0200412914811734,0.20722175085808645,1.8128195388183375,2.010926357291775,0.2102898586170083,1.8006364974689382,0.549591028324392,0.5337725008112945,0.27009646302250806,0.09003206224165705,0.3198115452830245
5,2.0145195704266277,0.2010281729675289,1.813491397220861,2.006179692277571,0.2095946759137246,1.7965850204005758,0.5462421621659086,0.5386503474377937,0.3558413719185423,0.11075373432863372,0.3284979482472712
6,2.0057137937535554,0.19240824138481474,1.8133055568380243,1.9853218250847067,0.18863985590868312,1.7966819734563142,0.5516687509482434,0.5379020944095882,0.3558413719185423,0.11075373432863372,0.3312112426384386
7,1.9955019933404816,0.1822387860417792,1.8132632048737367,1.9718359293533931,0.17921780852355373,1.792618124942432,0.5615681489874954,0.5422133371676878,0.3558413719185423,0.11075373432863372,0.33616094165806454
8,1.9836377931433347,0.1706800736379106,1.8129577166525626,1.967971979357933,0.1756732307238722,1.7922987470289518,0.5653968034200936,0.5455062865662033,0.3558413719185423,0.11075373432863372,0.3380752688743637
9,1.9783513425034513,0.16645882353812147,1.8118925173821812,1.9574782385831222,0.16294607563225785,1.7945321567061119,0.5701234835214829,0.5498215194879491,0.3558413719185423,0.11075373432863372,0.3404386089250583
10,1.9733568970413453,0.16189128317394058,1.8114656135413254,1.9520540418859975,0.1568899065543601,1.7951641317860234,0.5697260394540814,0.5492491355187423,0.3558413719185423,0.11075373432863372,0.34023988689135753
