epoch,train_total_loss,train_seg_loss,train_cls_loss,val_total_loss,val_seg_loss,val_cls_loss,val_dice,val_iou,val_cls_acc,val_cls_f1,val_joint_score
1,1.8070790607957339,0.2824462396733226,1.524632821214246,1.719820670504023,0.2344165820576498,1.4854040857552204,0.5814576669648518,0.5814576669648518,0.3558413719185423,0.11075373432863372,0.34610570064674273
2,1.7159968727441632,0.2217900920399771,1.4942067795116674,1.6724705126252333,0.22236217040117404,1.4501083423598147,0.548766001408386,0.5442688135215699,0.39013933547695606,0.17242872835796103,0.3605973648831735
3,1.7062482633263607,0.21099297497082115,1.4952552888852522,1.685668912603413,0.2111541490925981,1.4745147594940495,0.5450102346063401,0.5372968440414893,0.3687031082529475,0.12439634182524056,0.3347032882157903
4,1.690281759121027,0.20890821863888162,1.4813735422469667,1.6780817254435467,0.2087542387753693,1.4693274896627837,0.5497056595465022,0.5390047782602304,0.3708467309753483,0.1250394290147119,0.33737254428060703
5,1.6645286186715031,0.20003189258317344,1.464496727499122,1.6370430833401532,0.20630136240844685,1.4307417161722786,0.5557540494763682,0.5465661201927742,0.3954983922829582,0.16326220381404405,0.35950812664520615
6,1.64352773776775,0.20065391466963842,1.4428738240217813,1.5998909179548486,0.20104934104657377,1.398841576049821,0.5487617207331428,0.5400875883083298,0.42443729903536975,0.18279466391663676,0.3657781923248898
7,1.619608534110704,0.19743892258594145,1.422169609745301,1.5524995045902135,0.19405022684368928,1.3584492835201252,0.549661811512855,0.5356903841560078,0.4512325830653805,0.19605959343825233,0.37286070247555364
8,1.6007289768500428,0.19841247394137954,1.4023165026065407,1.555005062814694,0.19288629781362968,1.3621187647055966,0.5527127599964436,0.5401156818813523,0.4587352625937835,0.19284416615588415,0.3727784630761639
9,1.5675340223073875,0.19504672312452223,1.3724872987582966,1.5338184103960648,0.1871366694625487,1.3466817366731896,0.5556386300832263,0.5418553067757642,0.43193997856377275,0.17780309825304788,0.3667208641681371
10,1.4968314358659112,0.18328637332150066,1.313545062930382,1.4392893090764298,0.18839067185950434,1.25089863543214,0.5408909755394149,0.525630022488085,0.5080385852090032,0.14900713226875184,0.34494905390408337
