epoch,train_total_loss,train_seg_loss,train_cls_loss,val_total_loss,val_seg_loss,val_cls_loss,val_dice,val_iou,val_cls_acc,val_cls_f1,val_joint_score
1,2.088203053169482,0.2624269760386481,1.8257760825264493,2.005452795044019,0.22703315858257034,1.7784196301927393,0.5814576669648518,0.5814576669648518,0.35262593783494106,0.14703193495872935,0.36424480096179057
2,1.997699183368308,0.22363076414267435,1.7740684178268198,1.9616854323707082,0.22845818878561738,1.7332272445273935,0.5574479116206316,0.5558983526806742,0.3504823151125402,0.14327039268919406,0.3503591521549128
3,1.9382876875827295,0.21616207130809648,1.7221256176801016,1.8794356742983591,0.20921723940684225,1.6702184347477758,0.545770039609102,0.5422622195958675,0.40728831725616294,0.1095849374499319,0.32767748852951695
4,1.8483982579373341,0.2137397496657271,1.634658510150889,2.101075401387925,0.2360965868364321,1.8649788163482568,0.5799206721477841,0.5797625787408309,0.27009646302250806,0.09017497028024232,0.3350478212140132
5,1.9826618844843542,0.21834932766500734,1.7643125575966134,1.9842957328497917,0.2058292661073826,1.7784664679442443,0.5368365201423534,0.526481849909933,0.4137191854233655,0.1773029152019633,0.35706971767215834
6,1.8813666153822937,0.21138073459251644,1.6699858831907861,1.7656190317415603,0.20571669223064523,1.559902339886239,0.5340071317652806,0.5253741272410003,0.4866023579849946,0.17949757390743445,0.35675235283635753
7,1.752298109869567,0.21005438353098388,1.5422437263412447,1.662693259800362,0.20452290833683132,1.4581703484250035,0.5476081795787386,0.5373879955522819,0.5262593783494105,0.19110374974561467,0.3693559646621767
8,1.56642834026075,0.1982067340360066,1.368221608090716,1.6288111117236228,0.19738323193159263,1.431427878837749,0.5477738731858441,0.534335109897947,0.5391211146838156,0.17046374674726397,0.35911880996655404
9,1.543045367224381,0.19167528903726042,1.3513700786808978,1.5070001848385393,0.19167906366136936,1.315321121696235,0.5513409244568347,0.53734808605626,0.5605573419078242,0.1947325881761262,0.3730367563164805
10,1.4980818784505225,0.18661045501219584,1.311471424344694,1.607924783568418,0.19333901344963209,1.4145857774815247,0.5595586406243933,0.5462384456159903,0.5669882100750268,0.18093175765891206,0.37024519914165266
